INSPID ROUND REVID  TREAT R_NCSL R_TRUEDEF R_SOFTMAINT R_FALSEPOS  R_SUPPRESSED R_PREPTIME
    38     1     G  1sX2p    379         2           8          0            1  0.7500000
    39     1     C 2sX1pN    428         2           5          0            3  2.0833333
    39     2     E 2sX1pN    428         2           2          1            4  0.9166667
    40     1     I 2sX2pN    230         0           4          0            2  0.3333333
    40     1     C 2sX2pN    230         0           1          1            0  1.5166667
    40     2     H 2sX2pN    230         0           1          1            1  1.0000000
    40     2     J 2sX2pN    230         0           2          1           10  1.5000000
    41     1     D 2sX1pN    245         2           6          0            0  0.3333333
    41     2     G 2sX1pN    245         1           2          1            0  0.3333333
    42     1     B 2sX2pN    363         2           4          1            3  0.5000000
    42     1     E 2sX2pN    363         0           2          1            2  1.2500000
    42     2     D 2sX2pN    363         1           5          4            0  0.8666667
    42     2     G 2sX2pN    363         0           0          2            1  0.4166667
    43     1     H  1sX2p    291         0           5          1            4  2.0000000
    43     1     B  1sX2p    291         1           8          0            5  1.3333333
    44     1     J 2sX2pN    267         1           3          0            2  0.2500000
    44     1     G 2sX2pN    267         1           1          1            0  0.2500000
    44     2     K 2sX2pN    267         1           2          2            4  1.5000000
    44     2     E 2sX2pN    267         1           1          1            0  0.5000000
    45     1     I 2sX1pN    231         1           0          2            0  0.4500000
    45     2     K 2sX1pN    231         0           0          1            0  1.4000000
    46     1     H  1sX4p    250         0           1          0            0  1.0000000
    46     1     I  1sX4p    250         1           3          2            0  0.3333333
    46     1     C  1sX4p    250         0           1          0            2  0.9166667
    46     1     E  1sX4p    250         0           3          1            0  0.6666667
    47     1     H 2sX2pN    200         1           0          0            2  0.6666667
    47     1     J 2sX2pN    200         0           0          0            1  0.7500000
    47     2     K 2sX2pN    200         1           2          2            3  1.7500000
    47     2     D 2sX2pN    200         1           2          0            2  0.3333333
    48     1     I  1sX2p    400         0           2          0            1  0.2666667
    48     1     G  1sX2p    400         0           0          0            0  0.3333333
    49     1     B 2sX2pN    203         1           3          3            3  1.1666667
    49     1     D 2sX2pN    203         1           3          1            3  0.5833333
    49     2     I 2sX2pN    203         0           2          0            0  0.2833333
    49     2     G 2sX2pN    203         1           1          0            0  0.4166667
    50     1     J  1sX2p    344         0           0          0            1  0.4166667
    50     1     C  1sX2p    344         0           2          0            0  1.0000000
    51     1     H  1sX2p    303         1           1          1            0  1.4166667
    51     1     B  1sX2p    303         4          15          2            3  2.0833333
    52     1     I  1sX2p    374         2           2          1            2  0.2500000
    52     1     K  1sX2p    374         1          10          4            6  4.5833333
    53     1     H 2sX2pN    491         1           0          3            0  1.0000000
    53     1     E 2sX2pN    491         0           0          5            2  0.9500000
    53     2     J 2sX2pN    491         0           6          2            2  0.5000000
    53     2     C 2sX2pN    491         0           8          1            0  0.6666667
    54     1     A 2sX2pR    370         5           6          5            0  1.9166667
    54     1     C 2sX2pR    370         7          12          1            2  1.5500000
    54     2     F 2sX2pR    366         4          10          2            4  2.0000000
    54     2     G 2sX2pR    366         0           4          0            4  1.5000000
    55     1     C 2sX2pN    132         0           1          4            1  0.5000000
    55     1     E 2sX2pN    132         0           0          1            3  0.5000000
    55     2     N 2sX2pN    132         1           4          3            2  0.4500000
    55     2     M 2sX2pN    132         3           4          0            7  1.2500000
    56     1     F  1sX2p    280         0           5          5            0  0.7500000
    56     1     G  1sX2p    280         2           2          2            1  0.5000000
    57     1     A 2sX2pN    107         1           1          1            0  0.6166667
    57     1     B 2sX2pN    107         3           6          2            1  0.7500000
    57     2     O 2sX2pN    107         1           0          0            3  1.0000000
    57     2     G 2sX2pN    107         4           0          3            0  0.6666667
    58     1     B 2sX1pN    260         1           5          0            2  1.2500000
    58     2     F 2sX1pN    260         3           3          0            2  0.6666667
    59     1     C  1sX2p     95         0          19          7            6  0.3666667
    59     1     F  1sX2p     95         0           1          0            1  0.5000000
    60     1     A  1sX1p     34         0           0          0            0  0.0000000
    61     1     A  1sX2p     54         0           3          0            0  0.2500000
    61     1     B  1sX2p     54         0           4          0            2  0.7833333
    62     1     B  1sX2p     73         2           2          1            0  0.9166667
    62     1     E  1sX2p     73         0           1          0            0  0.3500000
    63     1     A  1sX4p    841         2           3          0            4  1.5000000
    63     1     O  1sX4p    841         0           0          0            0  0.0000000
    63     1     D  1sX4p    841         0           2          0            2  1.0000000
    63     1     F  1sX4p    841         0           0          1            2  0.7500000
    64     1     B 2sX2pN    404         1           3          1            5  2.0833333
    64     1     F 2sX2pN    404         1           1          0            3  0.7500000
    64     2     C 2sX2pN    404         1           0          0            1  1.0833333
    64     2     G 2sX2pN    404         2           0          0            1  2.0000000
    65     1     B 2sX1pR    316         2           2          0            1  1.6833333
    65     2     G 2sX1pR    261         0           5          2            5  1.0000000
    66     1     B  1sX2p    126         3          13          1            2  1.5166667
    66     1     D  1sX2p    126         2          13          1            2  0.5166667
    67     1     C 2sX1pN    123         0           4          0            2  0.2000000
    67     2     B 2sX1pN    123         1           4          1            1  0.6666667
    68     1     K  1sX4p    228         0           3          0            4  0.8333333
    68     1     B  1sX4p    228         0           4          0            0  1.0000000
    68     1     D  1sX4p    228         1           2          0            0  0.2333333
    68     1     G  1sX4p    228         0           0          0            2  0.3833333
    69     1     K  1sX2p    197         0           3          0            7  1.7500000
    69     1     F  1sX2p    197         1           4          1            2  0.7500000
    70     1     G  1sX1p    303         0           5          1            2  0.7500000
    71     1     D  1sX2p    139         2           2          0            2  0.3000000
    71     1     E  1sX2p    139         1           4          2            0  1.1833333
    72     1     D 2sX1pN    135         0           2          4            2  0.6666667
    72     2     C 2sX1pN    135         0           2          0            0  0.2833333
    73     1     I  1sX2p     78         0           0          2            0  0.2666667
    73     1     C  1sX2p     78         0           0          0            3  0.2500000
    74     1     A 2sX2pN    261         0           0          0            0  0.8333333
    74     1     C 2sX2pN    261         0           1          0            4  1.2500000
    74     2     B 2sX2pN    261         2           1          2            0  1.7500000
    74     2     G 2sX2pN    261         0           1          0            0  0.5000000
    75     1     B 2sX2pR    382         2          17          1            1  2.1666667
    75     1     E 2sX2pR    382         1           3          0            3  1.7500000
    75     2     C 2sX2pR    276         1           2          2            0  1.1666667
    75     2     D 2sX2pR    276         1          11          3            1  1.2500000
    76     1     B  1sX1p    571         7          10          1           10  2.0000000
    77     1     B 2sX1pN    150         0          23          0            0  0.8333333
    77     2     D 2sX1pN    150         0           6         10            8  0.5833333
    78     1     B  1sX1p     26         0           2          1            1  0.3333333
    79     1     B  1sX2p    249         3           5          3            2  1.5000000
    79     1     F  1sX2p    249         3           1          0            2  0.5000000
    80     1     B 2sX1pN    486         1           2          1            0  1.0833333
    80     2     F 2sX1pN    486         3           3          2            4  0.5000000
    81     1     C 2sX1pN     95         0           1          1            0  0.2000000
    81     2     J 2sX1pN     95         1           1          2            3  0.6000000
    82     1     E  1sX2p    234         0           2          1            0  2.0833333
    82     1     G  1sX2p    234         0           0          0            1  0.5000000
    83     1     E 2sX1pR    389         0           1          0            0  1.5000000
    83     2     N 2sX1pR    390         0           1          1            2  0.8000000
    84     1     D  1sX2p    323         0           2          0            1  1.0000000
    84     1     M  1sX2p    323         0           2          2            0  2.0000000
    85     1     D  1sX1p    251         0           0          3            2  0.2500000
    86     1     C 2sX2pR    227         1           1          0            1  0.7833333
    86     1     G 2sX2pR    227         0           0          0            3  0.5833333
    86     2     B 2sX2pR    377         2          14          1            2  2.0333333
    86     2     E 2sX2pR    377         0           3          0            2  1.9666667
    87     1     B  1sX1p     64         0           0          1            1  0.5833333
    88     1     C 2sX1pN    284         0           1          0            0  1.1666667
    88     2     E 2sX1pN    284         1           1          1            5  3.6666667
