INSPID ROUND  TREAT S_NCSL S_FALSEPOS S_SOFTMAINT S_TRUEDEF S_MAJORISS S_MEETGAIN S_PREPDEF S_MEETDUR TEAM_ILOAD_PRE TEAM_RLOAD_PRE TEAM_MLOAD_PRE AUTH_ILOAD_PRE AUTH_RLOAD_PRE AUTH_MLOAD_PRE AUTH_ILOAD_POS AUTH_RLOAD_POS AUTH_MLOAD_POS S_AVAILDATE S_MEETDATE S_REPAIRDATE S_AVAILMONTH S_AV2DIST S_DIST2PREP S_PREP2PREP S_PREP2MEET S_MEET2MEET S_MEET2REP S_REP2REP S_PREMEET S_POSTMEET S_RA S_RB S_RC S_RD S_RE S_RF S_RG S_RH S_RI S_RJ S_RK S_RL S_RM S_RN S_RO S_RP S_RQ 
    55     2 2sX2pN    132          4          11         5          0          1         4 0.5000000     1.06666667     1.06666667      0.0000000     3.86666667     2.73333333      1.5333333     5.06666667      3.7333333      1.8666667          13         21           21        94/07         2           3           1           0           0          0         0         6          0    0    0    0    0    0    0    0    0    0    0    0    0    1    1    0    0    0
    56     1  1sX2p    280          6          10         2          0          0         2 0.6666667     6.33333333     3.93333333      6.2000000     5.26666667     4.00000000      2.7333333     4.00000000      3.0666667      2.5333333          28         39           53        94/07         3           0           4           0           0         10         0         7         10    0    0    0    0    0    1    1    0    0    0    0    0    0    0    0    0    0
    57     1 2sX2pN    107          5          12         5          0          1         4 0.7833333     3.73333333     2.60000000      3.6000000     5.13333333     3.40000000      3.0666667     4.00000000      3.0666667      2.5333333          33         39           39        94/08         1           1           1           1           0          0         0         4          0    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    57     2 2sX2pN    107          1           3         6          2          2         4 0.5833333     3.40000000     3.40000000      0.0000000     5.13333333     3.40000000      3.0666667     3.73333333      3.0000000      2.4666667          33         40           53        94/08         1           3           0           1           0          5         4         5          9    0    0    0    0    0    0    1    0    0    0    0    0    0    0    1    0    0
    58     1 2sX1pN    260          1          18         3          0          2         1 1.6666667     3.60000000     2.66666667      2.2666667     2.26666667     2.06666667      2.0000000     2.13333333      1.6000000      2.0000000          53         56           56        94/08         0           1           1           1           0          0         0         3          0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    58     2 2sX1pN    260          0          11         7          0          4         3 0.8333333     4.60000000     4.73333333      5.8000000     2.26666667     2.06666667      2.0000000     2.13333333      1.6000000      2.0000000          53         56           56        94/08         0           3           0           0           0          0         0         3          0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0
    59     1  1sX2p     95          6           5         0          0          0         0 0.4166667     0.80000000     1.46666667      2.2000000     0.60000000     0.40000000      1.6000000     0.33333333      0.1333333      1.5333333         110        112          112        94/10         0           2           0           0           0          0         0         2          0    0    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0
    60     1  1sX1p     34          0           3         0          0          0         0 0.2000000     0.06666667     0.06666667      5.0666667     0.06666667     0.00000000      0.2000000     0.06666667      0.0000000      0.2000000         165        165          165        94/12         0           0           0           0           0          0         0         0          0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    61     1  1sX2p     54          0          12         0          0          0         0 0.3333333     3.80000000     3.13333333     11.4666667     3.06666667     2.53333333      0.1333333     0.80000000      0.2666667      0.2000000         246        259          259        95/03         2           0           7           0           0          0         0         9          0    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    62     1  1sX2p     73          2           4         3          0          1         2 0.4666667     0.20000000     0.20000000     20.6000000     1.60000000     1.40000000      1.8666667     1.60000000      1.4000000      1.6000000         432        434          434        95/09         0           1           1           0           0          0         0         2          0    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0
    63     1  1sX4p    841          5           7         9          3          7         2 1.7500000     6.33333333     4.00000000      6.2000000     4.20000000     2.60000000      0.5333333     3.20000000      1.9333333      0.0000000          28         46           98        94/07         1           5           6           0           0          5        33        12         38    1    0    0    1    0    1    0    0    0    0    0    0    0    0    1    0    0
    64     1 2sX2pN    404          7          19         9          6          7         2 1.3333333     6.33333333     3.93333333      6.2000000     4.20000000     2.60000000      0.5333333     3.00000000      2.0000000      0.0000000          28         47           98        94/07         1          11           1           0           0          4        33        13         37    0    1    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0
    64     2 2sX2pN    404          1           5         3          2          0         3 0.9166667     2.46666667     2.46666667      0.0000000     4.20000000     2.60000000      0.5333333     2.33333333      4.2666667      1.4666667          28         55           98        94/07         1          11           4           3           0          0        31        19         31    0    0    1    0    0    0    1    0    0    0    0    0    0    0    0    0    0
    65     1 2sX1pR    316          0           7         3          0          1         2 1.1666667     2.06666667     2.06666667     13.0000000     2.66666667     0.60000000     11.2666667     5.80000000      0.8666667      7.5333333         229        235          236        95/02         0           4           0           0           0          1         0         4          1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    65     2 2sX1pR    261          4           6         0          1          0         0 1.0833333     2.60000000     2.60000000      0.0000000     6.66666667     1.13333333      5.8666667     3.60000000      4.4666667      3.6666667         238        251          314        95/02         1           7           0           1           0          1        44         9         45    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0
    66     1  1sX2p    126          2          19         4          1          0         4 1.5000000     3.40000000     3.40000000     13.0666667     6.40000000     0.93333333      6.8666667     6.66666667      2.1333333      3.8666667         236        243          319        95/02         1           3           1           0           0          2        52         5         54    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0
    67     1 2sX1pN    123          0           7         1          0          1         0 0.4166667     0.93333333     0.93333333      0.0000000     6.66666667     1.13333333      5.8666667     6.60000000      2.3333333      3.4000000         238        244          244        95/02         2           1           0           1           0          0         0         4          0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    67     2 2sX1pN    123          1           7         2          0          1         1 0.5833333     3.53333333     3.40000000     12.9333333     6.66666667     1.13333333      5.8666667     4.13333333      4.2000000      3.5333333         238        250          267        95/02         2           6           0           0           0         13         0         8         13    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    68     1  1sX4p    228          0          14         1          0          0         1 0.9166667     2.33333333     1.53333333      1.8000000     2.13333333     1.06666667      4.2666667     0.60000000      1.1333333      4.8000000         473        508          509        95/10         1           1          22           1           0          0         1        25          1    0    1    0    1    0    0    1    0    0    0    1    0    0    0    0    0    0
    69     1  1sX2p    197          2          10         2          0          1         1 0.8166667     2.46666667     2.93333333      8.4000000     2.13333333     1.06666667      4.2666667     2.33333333      1.2666667      2.5333333         473        497          519        95/10         1          16           1           0           0          0        16        18         16    0    0    0    0    0    1    0    0    0    0    1    0    0    0    0    0    0
    70     1  1sX1p    303          2           9         3          0          3         0 1.0000000     3.40000000     3.40000000      0.0000000     7.66666667     4.20000000      6.4000000     4.13333333      3.6000000      3.5333333          33         60           69        94/08         1           9           0           9           0          7         0        19          7    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0
    71     1  1sX2p    139          2           6         4          2          1         3 0.5833333     2.46666667     3.60000000      1.5333333     2.20000000     7.26666667      4.7333333     0.66666667      5.9333333      5.8000000         405        417          418        95/08         0           7           1           0           0          1         0         8          1    0    0    0    1    1    0    0    0    0    0    0    0    0    0    0    0    0
    72     1 2sX1pN    135          0          10         0          1          0         0 0.3333333     1.33333333     1.13333333      2.4666667     2.33333333     4.80000000      6.8000000     2.73333333      4.6666667      7.2666667         428        433          439        95/09         0           3           0           0           0          2         2         3          4    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0
    72     2 2sX1pN    135          3          10         0          0          0         0 0.3666667     0.46666667     0.46666667      3.0000000     2.33333333     4.80000000      6.8000000     2.66666667      4.5333333      7.3333333         428        434          439        95/09         0           3           0           1           0          1         2         4          3    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    73     1  1sX2p     78          2           2         0          0          0         0 0.1333333     1.53333333     1.53333333      3.2666667     1.53333333     3.13333333      8.0666667     2.33333333      1.2666667      6.6000000         446        481          481        95/09         0          24           1           0           0          0         0        25          0    0    0    1    0    0    0    0    0    1    0    0    0    0    0    0    0    0
    74     1 2sX2pN    261          0           2         3          1          3         0 0.5833333     3.53333333     2.73333333      3.5333333     7.80000000     4.13333333      6.4000000     6.93333333      3.9333333      6.1333333          34         42           56        94/08         0           2           3           1           0         10         0         6         10    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    74     2 2sX2pN    261          2           4         2          1          0         2 1.6666667     3.60000000     3.46666667      2.6666667     7.80000000     4.13333333      6.4000000     4.66666667      5.2000000      7.4000000          34         49           56        94/08         0           2           2           7           0          5         0        11          5    0    1    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0
    75     1 2sX2pR    382          1          23         4          2          1         3 1.0833333     3.53333333     4.40000000      2.6000000     4.20000000     4.33333333      4.5333333     2.60000000      2.6000000      3.0666667          56         68           69        94/08         1           1           5           1           0          1         0         8          1    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0
    75     2 2sX2pR    276          7          15         2          0          1         1 1.0000000     1.53333333     2.80000000      1.5333333     2.93333333     1.40000000      1.4000000     1.33333333      1.4666667      1.6666667          91        106          113        94/09         1           8           1           1           0          3         2        11          5    0    0    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0
    76     1  1sX1p    571          2          19        10          0          3         7 1.2500000     3.53333333     2.80000000      2.6000000     4.20000000     4.33333333      4.5333333     2.46666667      2.4666667      3.0666667          56         70           70        94/08         1           8           0           1           0          0         0        10          0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    77     1 2sX1pN    150          0          18         0          0          0         0 0.9000000     1.80000000     1.80000000      6.0000000     2.33333333     2.20000000      2.5333333     2.46666667      1.3333333      1.6666667          75         98          104        94/09         0           6           1          10           0          4         0        17          4    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    77     2 2sX1pN    150          2          16         0          0          0         0 0.5000000     0.53333333     0.53333333      1.2666667     2.33333333     2.20000000      2.5333333     1.60000000      1.4000000      1.6000000          75        104          104        94/09         0          21           0           0           0          0         0        21          0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0
    78     1  1sX1p     26          1           2         0          0          0         0 0.2500000     0.20000000     1.20000000      5.0000000     0.80000000     0.93333333      2.2000000     0.53333333      0.6666667      2.4000000         110        112          112        94/10         0           0           0           2           0          0         0         2          0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    79     1  1sX2p    249          2           9         5          2          1         4 0.8333333     0.66666667     0.66666667      7.0000000     0.13333333     0.40000000      5.8000000     0.13333333      0.4666667      5.8666667         173        174          235        94/12         0           0           1           0           0          1        42         1         43    0    1    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0
    80     1 2sX1pN    486          1           9         1          0          0         1 0.8333333     0.53333333     0.53333333      7.2666667     1.06666667     1.00000000      6.2666667     1.53333333      1.4666667      6.9333333         183        193          222        94/12         0           2           4           0           0         13         8         6         21    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    80     2 2sX1pN    486          0           6         3          0          0         3 0.5333333     0.53333333     1.53333333      2.0000000     1.06666667     1.00000000      6.2666667     0.53333333      2.4666667      7.0000000         183        209          222        94/12         0          18           0           0           0          1         8        18          9    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0
    81     1 2sX1pN     95          3           4         1          3          1         0 0.3333333     0.53333333     0.53333333      0.0000000     3.86666667     2.00000000      2.6666667     1.53333333      0.4666667      2.0000000         253        267          301        95/03         3           7           0           0           0         17         7        10         24    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    81     2 2sX1pN     95          2           1         1          1          0         1 0.2833333     1.46666667     1.46666667      0.0000000     3.86666667     2.00000000      2.6666667     1.60000000      2.4000000      2.8666667         253        281          301        95/03         3          13           0           4           0         14         0        20         14    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0
    82     1  1sX2p    234          1           5         1          0          1         0 0.5833333     1.73333333     3.53333333      2.5333333     1.86666667     3.06666667      3.9333333     1.86666667      2.2000000      8.8000000         287        312          319        95/04         2           0          15           0           0          5         0        17          5    0    0    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0
    83     1 2sX1pR    389          0           3         0          0          0         0 0.7500000     2.40000000     2.40000000      0.0000000     2.46666667     1.40000000      0.4000000     4.20000000      2.2666667      2.7333333          13         21           22        94/07         3           2           0           1           0          1         0         6          1    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0
    83     2 2sX1pR    390          5           3         0          2          0         0 0.9166667     1.00000000     1.00000000      0.0000000     4.46666667     2.53333333      3.2666667     4.66666667      5.2000000      7.4000000          22         49           63        94/07         1          18           0           0           0          9         1        19         10    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0
    84     1  1sX2p    323          6           5         3          1          3         0 1.3333333     3.86666667     2.73333333      1.5333333     2.46666667     1.40000000      0.4000000     7.26666667      4.0000000      6.2000000          13         41           56        94/07         5          13           2           0           0         10         1        20         11    0    0    0    1    0    0    0    0    0    0    0    0    1    0    0    0    0
    85     1  1sX1p    251          4           0         0          0          0         0 0.2500000     2.13333333     1.60000000      2.0000000     4.20000000     4.33333333      4.5333333     3.53333333      2.6000000      2.2666667          56         64          104        94/08         1           5           0           0           0         28         0         6         28    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0
    86     1 2sX2pR    227          0           4         1          0          0         1 0.6666667     0.53333333     0.93333333      0.4000000     0.53333333     0.00000000      4.1333333     0.53333333      0.4666667      3.0000000         140        151          160        94/11         1           1           5           0           0          7         0         7          7    0    0    1    0    0    0    1    0    0    0    0    0    0    0    0    0    0
    86     2 2sX2pR    377          2          18         2          0          0         2 1.3333333     0.53333333     0.53333333      9.3333333     0.53333333     0.46666667      3.0666667     0.66666667      0.6000000      3.0000000         161        173          207        94/12         0           7           1           0           0         24         0         8         24    0    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0
    87     1  1sX1p     64          1           0         0          0          0         0 0.3333333     0.53333333     0.53333333      9.4000000     1.13333333     1.06666667      1.7333333     3.46666667      1.0666667      2.1333333         208        259          259        95/01         1           0           0          36           0          0         0        37          0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    88     1 2sX1pN    284          0           7         2          0          2         0 0.8333333     0.53333333     0.53333333      0.0000000     3.13333333     1.06666667      7.3333333     4.26666667      3.1333333      3.0666667         229        237          246        95/02         1           3           1           1           0          7         0         6          7    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    88     2 2sX1pN    284          2           5         1          0          0         1 1.4166667     2.66666667     0.60000000     11.2666667     3.13333333     1.06666667      7.3333333     4.26666667      3.1333333      3.0666667         229        237          246        95/02         1           3           2           0           0          7         0         6          7    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0
