Lang	Occurrences	Message
Java	151	java.lang.ClassNotFoundException <CLASS>
Java	143	java.util.FormatFlagsConversionMismatchException
Java	136	array required: <TYPE> found: <TYPE>
Java	128	error while writing: (Toegang geweigerd)
Java	116	error while writing: (Permission denied)
Java	111	java.lang.IllegalAccessError tried to access class <CLASS> or field <FIELD> or method <METHOD>
Java	110	<METHOD> in <CLASS> cannot implement <METHOD> in <CLASS>: overridden <METHOD> not throw <NAME>
Java	110	as of release #, ' as an identifier)
Java	109	java.util.EmptyStackException
Java	105	<METHOD> in <CLASS> cannot implement <METHOD> in <CLASS>: overridden <METHOD> static/final
Java	104	name clash: <NAME> and <NAME> other
Java	98	variable <VARIABLE> might already have been assigned
Java	93	exception <NAME> has already been caught
Java	92	not an enclosing class: <CLASS>
Java	91	enum types must not be local
Java	89	java.lang.IllegalStateException This actor is not in a grid.
Java	89	illegal underscore
Java	87	error while writing: (Acesso negado)
Java	86	java.io.FileNotFoundException (The system cannot find the path specified)
Java	85	java.lang.NullPointerException <NAME> must not be null.
Java	82	floating point number too small
Java	82	foreach not applicable to expression type
Java	79	java.lang.UnsatisfiedLinkError no <?> in java.library.path
Java	75	becker.robots.RobotException
Java	75	package <PACKAGE> clashes with <CLASS> same name
Java	73	java.util.IllegalFormatFlagsException
Java	73	<METHOD> in <CLASS> cannot implement <METHOD> in <CLASS>: return type <TYPE> is not compatible with <TYPE>
Java	72	an enum switch case label must be the unqualified name of an enumeration constant
Java	70	java.lang.IllegalStateException No robot has been created yet
Java	70	inner classes cannot have static declarations
Java	67	abstract method <METHOD> cannot be accessed directly
Java	66	annotation type not applicable to this kind of declaration
Java	65	cannot inherit from final <NAME>
Java	61	java.lang.NegativeArraySizeException
Java	60	non-static type <VARIABLE> cannot be referenced from a static context
Java	59	java.util.InputMismatchException Value out of range: #
Java	59	enum types may not be instantiated
Java	57	java.awt.AWTError BoxLayout can't be shared
Java	53	java.lang.IllegalStateException This actor is already contained in a grid.
Java	52	<METHOD> in <CLASS> cannot override <METHOD> in <CLASS>: overridden <METHOD> not throw <NAME>
Java	51	java.lang.UnsupportedClassVersionError major.minor version #.#
Java	51	error: error reading: cannot read zip file
Java	50	hexadecimal numbers must contain at least one hexadecimal digit
Java	49	illegal start of statement
Java	48	cannot infer type arguments for <TYPE>;
Java	46	error reading: cannot read zip file
Java	45	java.net.BindException Address already in use: #
Java	38	java.lang.ArrayStoreException
Java	38	java.lang.IllegalThreadStateException
Java	37	'finally' without 'try'
Java	37	type argument <NAME> is not within bounds of type variable <NAME>
Java	36	java.io.IOException Stream closed
Java	36	error while writing: (Read-only file system)
Java	35	java.sql.SQLException
Java	35	an enclosing instance that contains <NAME> is required
Java	34	duplicate default label
Java	33	java.io.FileNotFoundException (Access is denied)
Java	32	illegal generic type for instanceof
Java	31	java.net.ConnectException Connection refused
