"nameProject","devsProject"
"Apache_Tika","nick;rgauss;tallison;dmeikle;kkrugler;mattmann;mikemccand;jukka;maxcom;amylka;oleg;jnioche"
"Apache_Tiles","mck;nlebas;greddin;apetrelli"
"Apache_Tomcat","markrmiller;kpreisser;remm;mturk;violetagg;kfujino;jboynes;olamy;rjung;schultz;kkolinko;jfclere;baudyjy;billbarker;pero;wprice;timw;fhanik;jihoonson;costin;funkman;slaurent;fuankg;eijit"
"Apache_Turbine","tv;gk;ludwig;sgoeschl"
"Apache_UIMA","apatry;eae;challngr;cwiklik;degenaro;burn;pkluegl;rec;schor;tommaso;joern;bhavani;alally;tongfin;twgoetz"
"Anakia",""
"Apache_Axis2","kishanthan;veithen;sagara;shameera;amilas;nandika;azeez;isurues;muthulee;shankar;thilinamb;nadiramra;ruchithf;deepal;supun;barrettj;eranga;gawor;ruwan;hemapani;prabath"
"Apache_Velocity_DVSL",""
"Apache_Velocity","sdumitriu;cbrisson;nbubna"
"Texen",""
"Apache_Velocity_Tools","sdumitriu;schultz;nbubna;cbrisson;apetrelli"
"Apache_Woden","sagara;veithen"
"Apache_Whirr","tomwhite;abayer;adriancole;asanso;frankscholten;kve;dralves;iocanel;gmcdonald;tibor;larsgeorge;johan"
"Apache_Wicket","mgrigorov;svenmeier;ivaynberg;pete;jcompagner;pedro;dasarath;jrthomerson;jdonnerstag"
"Apache_Xalan_for_Java_XSLT_Processor","shathaway;ggregory;mrglavas"
"Apache_Sandesha2","veithen;sagara;ruwan"
"Apache_Xerces_for_Java_XML_Parser","mrglavas;mukulg;sandygao;knoaman"
"Apache_XML_Commons_External","mrglavas;danielsh"
"Apache_XML_Commons_Resolver","mrglavas;danielsh"
"Apache_Xindice","baudyjy"
"Apache_XMLBeans","jsy;ceposta"
"Apache_Batik","clay;deweese;helder;jensg;cam"
"Apache_XML_Graphics_Commons","jensg;lbernardo;clay;vhennebert;cbowditch;gadams;mehdi;phancock;spepping;adelmelle"
"Apache_FOP","vhennebert;lbernardo;gadams;rmeyer;clay;phancock;cbowditch;psancho;mehdi;jensg;spepping;adelmelle"
"Apache_Beehive",""
"Apache_ZooKeeper","ivank;phunt;thawan;michim;fpj;sijie;camille;mahadev;breed;umamahesh;henry"
"Apache_Accumulo","afuchs;billie;ctubbsii;ecn;kturner;mdrob;ujustgotbilld;danielsh;elserj;cjnolet;vines;medined;drew;bimargulies;dlmarion;brianloss;jtrost;joes;pctony;adc"
"Apache_Cayenne","dkazimirchyk;johnthuss;aadamchik;mkienenb;amaniatis;mgentry;torehalset;medgar;oltka;kseniak;andrey"
"Apache_Chemistry","fmui;jens;peberlein;gabriele;jpotts;richardm;mduerig;jmpascal;pweschmidt;gavincornwell;lgross;karstene;fguillaume;nick;sklevenz;sfermigier;timraff;dcaruana;pgoetz;jukka;gmcdonald;joes"
"Apache_Click","markrmiller;sabob;medgar;takezoe;aadrian;bckfnn"
"Apache_Cocoon","cdamioli;ilgrosso;thorsten;javier;simonetripodi;jarcec;reinhard"
"Apache_Commons_Attributes","sebb;ggregory"
"Apache_Commons_BCEL","dbrosius;sebb;olamy;ggregory;markrmiller;tcunning;baudyjy"
"Apache_Commons_BeanUtils","britter;olamy;sebb;oheger;ggregory;baudyjy;niall"
"Apache_ACE","marrs;jawi;angelos;bramk;paulb;joes;danielsh;tonit;pauls;jbonofre"
"Apache_Commons_Betwixt","sebb;olamy;ggregory;baudyjy;dbrosius"
"Apache_Commons_BSF","ebourg;sebb;olamy;baudyjy;rony"
"Apache_Commons_Chain","britter;simonetripodi;sebb;olamy;elijah;mbenson;ggregory;niall"
"Apache_Commons_CLI","sebb;olamy;tn;ebourg;ggregory;simonetripodi"
"Apache_Commons_Codec","ggregory;tn;sebb;olamy;julius;baudyjy;joehni"
"Apache_Commons_Collections","tn;ebourg;ggregory;sebb;olamy;brentworden;adriannistor;joehni;luc;baudyjy;psmith;dbrosius;mbenson;jocaba"
"Apache_Commons_Compress","boday;ggregory;ebourg;sebb;damjan;olamy;julius;jukka;grobmeier;baudyjy;tcunning"
"Apache_Commons_Configuration","oheger;sebb;olamy;rgoers;ebourg;psmith;joehni"
"Apache_Commons_Daemon","ebourg;sebb;mturk;olamy;ggregory;markrmiller"
"Apache_Commons_DBCP","psmith;markrmiller;olamy;ggregory;sebb;tn;dennisl;joehni"
"Apache_Commons_DbUtils","ggregory;sebb;wspeirs;ebourg;olamy;niall;simonetripodi;baudyjy"
"Apache_Commons_Digester","sebb;simonetripodi;olamy;elijah;mbenson"
"Apache_Commons_Discovery","sebb;olamy;ggregory;simonetripodi;psmith"
"Apache_Commons_EL","ebourg;sebb;olamy;ggregory"
"Apache_Commons_Email","tn;britter;sebb;olamy;ggregory;sgoeschl;dennisl;baudyjy;niall"
"Apache_Commons_Exec","sebb;olamy;ggregory;simonetripodi;sgoeschl"
"Apache_Commons_FileUpload","jocaba;markrmiller;sebb;ebourg;simonetripodi;ggregory;britter;tn;olamy;nick"
"Apache_Commons_IO","sebb;britter;tn;ggregory;olamy;niall;baudyjy"
"Apache_Commons_JCI","ebourg;sebb;olamy;tcunning;ggregory"
"Apache_Commons_JCS","olamy;sebb;tv;britter;dbrosius;baudyjy"
"Apache_AntUnit","boday"
"Apache_Commons_Jelly","olamy;sebb"
"Apache_Commons_JEXL","sebb;ggregory;ebourg;olamy;henrib;baudyjy"
"Apache_Commons_JXPath","sebb;ggregory;olamy;baudyjy;mbenson;dbrosius"
"Apache_Commons_Lang","ggregory;britter;mbenson;oheger;sebb;brentworden;tn;baudyjy;olamy;chas;joehni;julius;psmith;scolebourne;luc;niall"
"Apache_Commons_Launcher","olamy;sebb;ggregory"
"Apache_Commons_Logging","ggregory;tn;sebb;olamy;dennisl"
"Apache_Commons_Math","psmith;tn;erans;luc;dbrosius;sebb;olamy;ggregory;celestin;mikl;danielsh;gregs;breser;baudyjy"
"Apache_Commons_Modeler","sebb;olamy;ggregory"
"Apache_Commons_Net","sebb;olamy;ggregory;dfs"
"Apache_Commons_Pool","psmith;markrmiller;ggregory;sebb;jocaba;olamy;tn;baudyjy;simonetripodi"
"Apache_Compress_Ant_Library","boday"
"Apache_Commons_Primitives","olamy;sebb;ggregory"
"Apache_Commons_Proxy","mbenson;jcarman;sebb;olamy;ggregory"
"Apache_Commons_SCXML","sebb;ebourg;olamy;baudyjy;dbrosius;rahul"
"Apache_Commons_Validator","ebourg;sebb;olamy;simonetripodi;nick;dbrosius;niall;rdonch;ggregory"
"Apache_Commons_VFS","ggregory;sebb;joehni;olamy;tn;rgoers;grobmeier"
