Source,Target,weight,products,services,finances,content,hardware,interviewed
25,28,1,NA,1,NA,NA,NA,FALSE
26,28,1,1,NA,NA,NA,NA,FALSE
27,28,2,2,NA,NA,NA,NA,FALSE
28,9,1,NA,NA,1,NA,NA,TRUE
28,11,2,NA,NA,1,NA,NA,TRUE
28,25,1,NA,NA,1,NA,NA,TRUE
28,26,1,NA,NA,1,NA,NA,TRUE
28,27,1,NA,NA,1,NA,NA,TRUE
28,29,3,1,1,NA,NA,NA,TRUE
28,151,1,NA,NA,1,NA,NA,TRUE
28,152,1,NA,NA,1,NA,NA,TRUE
28,153,1,NA,NA,1,NA,NA,TRUE
28,154,1,NA,NA,1,NA,NA,TRUE
28,155,1,NA,NA,1,NA,NA,TRUE
29,28,3,NA,NA,1,1,NA,FALSE
30,33,1,NA,NA,NA,1,NA,FALSE
30,36,2,NA,1,NA,1,NA,FALSE
31,33,1,1,NA,NA,NA,NA,FALSE
31,337,1,1,NA,NA,NA,NA,FALSE
32,33,1,1,NA,NA,NA,NA,FALSE
32,136,1,1,NA,NA,NA,NA,FALSE
33,2,2,NA,NA,1,NA,NA,TRUE
33,3,1,NA,NA,1,NA,NA,TRUE
33,11,3,NA,NA,3,NA,NA,TRUE
33,32,1,NA,NA,1,NA,NA,TRUE
33,34,5,NA,3,NA,NA,NA,TRUE
33,49,1,NA,NA,1,NA,NA,TRUE
33,156,1,NA,NA,1,NA,NA,TRUE
33,392,3,NA,NA,3,NA,NA,TRUE
33,393,1,NA,NA,1,NA,NA,TRUE
34,33,5,NA,NA,3,1,NA,FALSE
35,38,1,NA,NA,1,NA,NA,FALSE
36,9,1,NA,NA,1,NA,NA,TRUE
36,11,2,NA,NA,2,NA,NA,TRUE
36,38,1,1,NA,NA,NA,NA,TRUE
36,143,1,NA,NA,1,NA,NA,TRUE
36,169,1,NA,NA,1,NA,NA,TRUE
36,170,1,NA,NA,1,NA,NA,TRUE
36,171,1,NA,NA,1,NA,NA,TRUE
36,172,1,NA,1,NA,NA,NA,TRUE
36,174,1,NA,NA,1,NA,NA,TRUE
36,175,1,NA,NA,1,NA,NA,TRUE
36,177,1,NA,1,NA,NA,NA,TRUE
36,397,1,1,NA,NA,NA,NA,TRUE
37,11,2,NA,NA,2,NA,NA,TRUE
37,21,1,NA,NA,1,NA,NA,TRUE
37,38,1,1,NA,NA,NA,NA,TRUE
37,41,1,1,NA,NA,NA,NA,TRUE
37,120,2,NA,NA,2,NA,NA,TRUE
37,121,4,1,3,NA,NA,NA,TRUE
37,215,1,1,NA,NA,NA,NA,TRUE
38,11,2,NA,NA,2,NA,NA,TRUE
38,35,1,NA,NA,NA,1,NA,TRUE
38,36,1,NA,NA,1,NA,NA,TRUE
38,37,1,NA,NA,1,NA,NA,TRUE
38,39,1,1,NA,NA,NA,NA,TRUE
39,38,2,NA,NA,1,1,NA,FALSE
40,41,1,1,NA,NA,NA,NA,FALSE
41,11,1,NA,NA,1,NA,NA,TRUE
41,37,1,NA,NA,1,NA,NA,TRUE
41,40,1,NA,NA,1,NA,NA,TRUE
41,42,1,NA,1,NA,NA,NA,TRUE
41,43,1,1,NA,NA,NA,NA,TRUE
